"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Regional School District 09","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",211
"Bethel School District","900104720","2011-2012","Non-Special Education","Total Cohort Count","Number",210
"Bethel School District","900104720","2015-2016","Non-Special Education","Four Year Graduation Count","Number",210
"Brookfield School District","900108980","2013-2014","Non-Special Education","Total Cohort Count","Number",210
"Colchester School District","901115910","2010-2011","Non-Special Education","Four Year Graduation Count","Number",210
"Connecticut Technical High School System","","2012-2013","Special Education","Total Cohort Count","Number",210
"Groton School District","901134250","2016-2017","Non-Special Education","Four Year Graduation Count","Number",210
"Regional School District 08","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",210
"Waterford School District","901180280","2011-2012","Non-Special Education","Total Cohort Count","Number",210
"New Fairfield School District","900150860","2011-2012","Non-Special Education","Total Cohort Count","Number",209
"New Fairfield School District","900150860","2013-2014","Non-Special Education","Four Year Graduation Count","Number",209
"New Fairfield School District","900150860","2016-2017","Non-Special Education","Total Cohort Count","Number",209
"Regional School District 08","","2010-2011","Non-Special Education","Four Year Graduation Count","Number",209
"Regional School District 09","","2012-2013","Non-Special Education","Total Cohort Count","Number",209
"Avon School District","900302060","2015-2016","Non-Special Education","Total Cohort Count","Number",208
"Branford School District","900907310","2014-2015","Non-Special Education","Four Year Graduation Count","Number",208
"Brookfield School District","900108980","2014-2015","Non-Special Education","Total Cohort Count","Number",208
"Guilford School District","900934950","2015-2016","Non-Special Education","Total Cohort Count","Number",208
"Ledyard School District","901142600","2010-2011","Non-Special Education","Total Cohort Count","Number",208
"New Fairfield School District","900150860","2011-2012","Non-Special Education","Four Year Graduation Count","Number",208
"New Haven School District","900952070","2014-2015","Special Education","Total Cohort Count","Number",208
"Tolland School District","901376290","2010-2011","Non-Special Education","Total Cohort Count","Number",208
"Torrington School District","900576570","2011-2012","Non-Special Education","Four Year Graduation Count","Number",208
"Waterford School District","901180280","2012-2013","Non-Special Education","Total Cohort Count","Number",208
"Tolland School District","901376290","2011-2012","Non-Special Education","Total Cohort Count","Number",207
"Vernon School District","901378250","2012-2013","Non-Special Education","Total Cohort Count","Number",207
