"District","FIPS","Year","Special Education Status","Variable","Measure Type","Value"
"Common Ground High School District","","2010-2011","Special Education","Other Count","Number",-9999
"Common Ground High School District","","2010-2011","Non-Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2010-2011","Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2011-2012","Non-Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2011-2012","Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2011-2012","Non-Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2011-2012","Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2011-2012","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2011-2012","Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2011-2012","Non-Special Education","Other Count","Number",-9999
"Common Ground High School District","","2011-2012","Special Education","Other Count","Number",-9999
"Common Ground High School District","","2011-2012","Non-Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2011-2012","Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2012-2013","Non-Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2012-2013","Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2012-2013","Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2012-2013","Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2012-2013","Non-Special Education","Other Count","Number",-9999
"Common Ground High School District","","2012-2013","Special Education","Other Count","Number",-9999
"Common Ground High School District","","2012-2013","Non-Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2012-2013","Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2013-2014","Non-Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2013-2014","Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2013-2014","Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2013-2014","Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2013-2014","Non-Special Education","Other Count","Number",-9999
"Common Ground High School District","","2013-2014","Special Education","Other Count","Number",-9999
"Common Ground High School District","","2013-2014","Non-Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2013-2014","Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2014-2015","Non-Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2014-2015","Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2014-2015","Non-Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2014-2015","Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2014-2015","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2014-2015","Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2014-2015","Non-Special Education","Other Count","Number",-9999
"Common Ground High School District","","2014-2015","Special Education","Other Count","Number",-9999
"Common Ground High School District","","2014-2015","Non-Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2014-2015","Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2015-2016","Non-Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2015-2016","Special Education","Total Cohort Count","Number",-9999
"Common Ground High School District","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2015-2016","Special Education","Four Year Graduation Count","Number",-9999
"Common Ground High School District","","2015-2016","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2015-2016","Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2015-2016","Non-Special Education","Other Count","Number",-9999
"Common Ground High School District","","2015-2016","Special Education","Other Count","Number",-9999
"Common Ground High School District","","2015-2016","Non-Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2015-2016","Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2016-2017","Special Education","Four Year Graduation Rate","Percent",-9999
"Common Ground High School District","","2016-2017","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Common Ground High School District","","2016-2017","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Common Ground High School District","","2016-2017","Non-Special Education","Other Count","Number",-9999
"Common Ground High School District","","2016-2017","Special Education","Other Count","Number",-9999
"Common Ground High School District","","2016-2017","Non-Special Education","Other Rate","Percent",-9999
"Common Ground High School District","","2016-2017","Special Education","Other Rate","Percent",-9999
"Connecticut Technical High School System","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2012-2013","Non-Special Education","Other Count","Number",-9999
"Connecticut Technical High School System","","2012-2013","Special Education","Other Count","Number",-9999
"Connecticut Technical High School System","","2012-2013","Non-Special Education","Other Rate","Percent",-9999
"Connecticut Technical High School System","","2012-2013","Special Education","Other Rate","Percent",-9999
"Connecticut Technical High School System","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2015-2016","Non-Special Education","Other Count","Number",-9999
"Connecticut Technical High School System","","2015-2016","Special Education","Other Count","Number",-9999
"Connecticut Technical High School System","","2015-2016","Non-Special Education","Other Rate","Percent",-9999
"Connecticut Technical High School System","","2015-2016","Special Education","Other Rate","Percent",-9999
"Connecticut Technical High School System","","2016-2017","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Connecticut Technical High School System","","2016-2017","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Connecticut Technical High School System","","2016-2017","Non-Special Education","Other Count","Number",-9999
"Connecticut Technical High School System","","2016-2017","Special Education","Other Count","Number",-9999
"Connecticut Technical High School System","","2016-2017","Non-Special Education","Other Rate","Percent",-9999
"Connecticut Technical High School System","","2016-2017","Special Education","Other Rate","Percent",-9999
"Coventry School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2010-2011","Non-Special Education","Other Count","Number",-9999
"Coventry School District","","2010-2011","Special Education","Other Count","Number",-9999
"Coventry School District","","2010-2011","Non-Special Education","Other Rate","Percent",-9999
"Coventry School District","","2010-2011","Special Education","Other Rate","Percent",-9999
"Coventry School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2011-2012","Non-Special Education","Other Count","Number",-9999
"Coventry School District","","2011-2012","Special Education","Other Count","Number",-9999
"Coventry School District","","2011-2012","Non-Special Education","Other Rate","Percent",-9999
"Coventry School District","","2011-2012","Special Education","Other Rate","Percent",-9999
"Coventry School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2012-2013","Non-Special Education","Other Count","Number",-9999
"Coventry School District","","2012-2013","Special Education","Other Count","Number",-9999
"Coventry School District","","2012-2013","Non-Special Education","Other Rate","Percent",-9999
"Coventry School District","","2012-2013","Special Education","Other Rate","Percent",-9999
"Coventry School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2013-2014","Non-Special Education","Other Count","Number",-9999
"Coventry School District","","2013-2014","Special Education","Other Count","Number",-9999
"Coventry School District","","2013-2014","Non-Special Education","Other Rate","Percent",-9999
"Coventry School District","","2013-2014","Special Education","Other Rate","Percent",-9999
"Coventry School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2014-2015","Non-Special Education","Other Count","Number",-9999
"Coventry School District","","2014-2015","Special Education","Other Count","Number",-9999
"Coventry School District","","2014-2015","Non-Special Education","Other Rate","Percent",-9999
"Coventry School District","","2014-2015","Special Education","Other Rate","Percent",-9999
"Coventry School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2015-2016","Non-Special Education","Other Count","Number",-9999
"Coventry School District","","2015-2016","Special Education","Other Count","Number",-9999
"Coventry School District","","2015-2016","Non-Special Education","Other Rate","Percent",-9999
"Coventry School District","","2015-2016","Special Education","Other Rate","Percent",-9999
"Coventry School District","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",-9999
"Coventry School District","","2016-2017","Special Education","Four Year Graduation Count","Number",-9999
"Coventry School District","","2016-2017","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Coventry School District","","2016-2017","Special Education","Four Year Graduation Rate","Percent",-9999
"Coventry School District","","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Coventry School District","","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Coventry School District","","2016-2017","Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2010-2011","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2010-2011","Non-Special Education","Other Count","Number",-9999
"Cromwell School District","","2010-2011","Special Education","Other Count","Number",-9999
"Cromwell School District","","2010-2011","Non-Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2010-2011","Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2011-2012","Non-Special Education","Other Count","Number",-9999
"Cromwell School District","","2011-2012","Special Education","Other Count","Number",-9999
"Cromwell School District","","2011-2012","Non-Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2011-2012","Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2012-2013","Non-Special Education","Other Count","Number",-9999
"Cromwell School District","","2012-2013","Special Education","Other Count","Number",-9999
"Cromwell School District","","2012-2013","Non-Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2012-2013","Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2013-2014","Non-Special Education","Four Year Graduation Count","Number",-9999
"Cromwell School District","","2013-2014","Special Education","Four Year Graduation Count","Number",-9999
"Cromwell School District","","2013-2014","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Cromwell School District","","2013-2014","Special Education","Four Year Graduation Rate","Percent",-9999
"Cromwell School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2013-2014","Non-Special Education","Other Count","Number",-9999
"Cromwell School District","","2013-2014","Special Education","Other Count","Number",-9999
"Cromwell School District","","2013-2014","Non-Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2013-2014","Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2014-2015","Non-Special Education","Other Count","Number",-9999
"Cromwell School District","","2014-2015","Special Education","Other Count","Number",-9999
"Cromwell School District","","2014-2015","Non-Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2014-2015","Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2015-2016","Non-Special Education","Four Year Graduation Count","Number",-9999
"Cromwell School District","","2015-2016","Special Education","Four Year Graduation Count","Number",-9999
"Cromwell School District","","2015-2016","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Cromwell School District","","2015-2016","Special Education","Four Year Graduation Rate","Percent",-9999
"Cromwell School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Cromwell School District","","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Cromwell School District","","2015-2016","Non-Special Education","Other Count","Number",-9999
"Cromwell School District","","2015-2016","Non-Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2015-2016","Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2016-2017","Non-Special Education","Four Year Graduation Count","Number",-9999
"Cromwell School District","","2016-2017","Special Education","Four Year Graduation Count","Number",-9999
"Cromwell School District","","2016-2017","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Cromwell School District","","2016-2017","Special Education","Four Year Graduation Rate","Percent",-9999
"Cromwell School District","","2016-2017","Non-Special Education","Other Count","Number",-9999
"Cromwell School District","","2016-2017","Special Education","Other Count","Number",-9999
"Cromwell School District","","2016-2017","Non-Special Education","Other Rate","Percent",-9999
"Cromwell School District","","2016-2017","Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2010-2011","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2010-2011","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2010-2011","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2010-2011","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2010-2011","Non-Special Education","Other Count","Number",-9999
"Darien School District","900118850","2010-2011","Special Education","Other Count","Number",-9999
"Darien School District","900118850","2010-2011","Non-Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2010-2011","Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2011-2012","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2011-2012","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2011-2012","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2011-2012","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2011-2012","Non-Special Education","Other Count","Number",-9999
"Darien School District","900118850","2011-2012","Special Education","Other Count","Number",-9999
"Darien School District","900118850","2011-2012","Non-Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2011-2012","Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2012-2013","Non-Special Education","Other Count","Number",-9999
"Darien School District","900118850","2012-2013","Special Education","Other Count","Number",-9999
"Darien School District","900118850","2012-2013","Non-Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2012-2013","Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2013-2014","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2013-2014","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2013-2014","Non-Special Education","Other Count","Number",-9999
"Darien School District","900118850","2013-2014","Special Education","Other Count","Number",-9999
"Darien School District","900118850","2013-2014","Non-Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2013-2014","Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2014-2015","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2014-2015","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2014-2015","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2014-2015","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2014-2015","Non-Special Education","Other Count","Number",-9999
"Darien School District","900118850","2014-2015","Special Education","Other Count","Number",-9999
"Darien School District","900118850","2014-2015","Non-Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2014-2015","Special Education","Other Rate","Percent",-9999
"Darien School District","900118850","2015-2016","Non-Special Education","Four Year Graduation Count","Number",-9999
"Darien School District","900118850","2015-2016","Special Education","Four Year Graduation Count","Number",-9999
"Darien School District","900118850","2015-2016","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Darien School District","900118850","2015-2016","Special Education","Four Year Graduation Rate","Percent",-9999
"Darien School District","900118850","2015-2016","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2015-2016","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2016-2017","Non-Special Education","Four Year Graduation Count","Number",-9999
"Darien School District","900118850","2016-2017","Special Education","Four Year Graduation Count","Number",-9999
"Darien School District","900118850","2016-2017","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Darien School District","900118850","2016-2017","Special Education","Four Year Graduation Rate","Percent",-9999
"Darien School District","900118850","2016-2017","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Darien School District","900118850","2016-2017","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2016-2017","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Darien School District","900118850","2016-2017","Non-Special Education","Other Count","Number",-9999
"Darien School District","900118850","2016-2017","Non-Special Education","Other Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Non-Special Education","Total Cohort Count","Number",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Special Education","Total Cohort Count","Number",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Non-Special Education","Four Year Graduation Count","Number",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Special Education","Four Year Graduation Count","Number",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Non-Special Education","Four Year Graduation Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Special Education","Four Year Graduation Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Non-Special Education","Still Enrolled After Four Years Count","Number",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Non-Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Non-Special Education","Other Count","Number",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Special Education","Other Count","Number",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Non-Special Education","Other Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2012-2013","Special Education","Other Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2013-2014","Special Education","Total Cohort Count","Number",-9999
"Department of Mental Health and Addiction Services","","2013-2014","Special Education","Four Year Graduation Count","Number",-9999
"Department of Mental Health and Addiction Services","","2013-2014","Special Education","Four Year Graduation Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2013-2014","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Department of Mental Health and Addiction Services","","2013-2014","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2013-2014","Special Education","Other Count","Number",-9999
"Department of Mental Health and Addiction Services","","2013-2014","Special Education","Other Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2015-2016","Special Education","Total Cohort Count","Number",-9999
"Department of Mental Health and Addiction Services","","2015-2016","Special Education","Four Year Graduation Count","Number",-9999
"Department of Mental Health and Addiction Services","","2015-2016","Special Education","Four Year Graduation Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2015-2016","Special Education","Still Enrolled After Four Years Count","Number",-9999
"Department of Mental Health and Addiction Services","","2015-2016","Special Education","Still Enrolled After Four Years Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2015-2016","Special Education","Other Count","Number",-9999
"Department of Mental Health and Addiction Services","","2015-2016","Special Education","Other Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2016-2017","Special Education","Total Cohort Count","Number",-9999
"Department of Mental Health and Addiction Services","","2016-2017","Special Education","Four Year Graduation Count","Number",-9999
"Department of Mental Health and Addiction Services","","2016-2017","Special Education","Four Year Graduation Rate","Percent",-9999
"Department of Mental Health and Addiction Services","","2016-2017","Special Education","Still Enrolled After Four Years Count","Number",-9999
